"gene","baseMean","threshold_log2FoldChange","lfcSE","stat","threshold_pvalue","padj","raw_log2FoldChange","raw_pvalue","raw_padj","log2FoldChange","strict_padj","significant","significant_strict","higher_in_Dsim","lower_in_Dsim"
"Rnp4F_OG0003216",2234.92099145328,-0.277093551852135,0.159674547000574,-1.73536457160664,0.918644055725625,0.999999999999989,-0.277093551852135,0.0826762511601332,0.208132902163773,-0.263277074270133,1,FALSE,FALSE,FALSE,FALSE
"Mcm3_OG0003215",2475.70692191961,-0.137741364935131,0.264529704517302,-0.520702826877128,0.922527448981441,0.999999999999989,-0.137741364935131,0.602573804828983,0.755073205999102,-0.121056220575338,1,FALSE,FALSE,FALSE,FALSE
"CG3309_OG0007988",419.70306086361,-0.359375666137338,0.121768893222315,-2.95129286821406,0.875923276559966,0.999999999999989,-0.359375666137338,0.003164467110346,0.0180121321077873,-0.349584554962857,1,FALSE,FALSE,FALSE,FALSE
"XRCC1_OG0007987",930.444907167407,-0.0130944755420893,0.188126814276002,-0.0696045143404082,0.998367646635238,0.999999999999989,-0.0130944755420893,0.944508443733898,0.973824612446152,-0.0108145781012928,1,FALSE,FALSE,FALSE,FALSE
"CanB_OG0000231_OG0",237.592294636223,-1.09207770104091,0.489085332982862,-2.23289808013763,0.113594434999079,0.643964292689753,-1.09207770104091,0.0255556662286756,0.0888652560956745,-0.843520651291214,1,FALSE,FALSE,FALSE,FALSE
"SK-PT_OG0007986",127.904367263293,1.24327641753078,0.391006233660403,3.17968438991841,0.0286595618905609,0.259682623113642,1.24327641753078,0.00147435535341829,0.00987849274507278,1.0879800489169,1,FALSE,FALSE,FALSE,FALSE
"NAAT1_OG0007985",539.465560901397,-0.759877840105394,0.478882957136423,-1.58677152481942,0.297935128101043,0.999999999999989,-0.759877840105394,0.112564400244997,0.257134631907469,-0.550693784495803,1,FALSE,FALSE,FALSE,FALSE
"spoon_OG0007984",2144.84065388806,0.156362905378266,0.36490233052779,0.428506184523691,0.862863123367406,0.999999999999989,0.156362905378266,0.668282631868855,0.804113732648895,0.121377766045596,1,FALSE,FALSE,FALSE,FALSE
"Usp16-45_OG0007381",3127.60536438185,-0.9186495030045,0.116798866090623,-7.86522621111517,0.000168951106841235,0.00397582065091856,-0.9186495030045,3.68431064198928e-15,1.84459899642045e-13,-0.904252907249585,1,TRUE,FALSE,TRUE,FALSE
"CG16756_OG0007380",36.670514679193,1.88881710688894,0.869824761161819,2.17149153625618,0.0581838093456225,0.419047604557625,1.88881710688894,0.0298940362496699,0.0998468950708002,1.10925405987717,1,FALSE,FALSE,FALSE,FALSE
"CG15784_OG0007379",3089.20767267152,0.762484356153667,0.338362194384134,2.25345611539579,0.219043706112863,0.908057009903858,0.762484356153667,0.0242304047625546,0.0852232838476516,0.656224468897126,1,FALSE,FALSE,FALSE,FALSE
"beat-IIIb_OG0009460",36.1919326930049,-0.795141830686288,0.480623006677581,-1.65439818660137,0.273103091583511,0.999999999999989,-0.795141830686288,0.0980466346868744,0.23468992315961,-0.589370306230572,1,FALSE,FALSE,FALSE,FALSE
"SPR_OG0007378",59.4149544455079,-0.37215380221929,0.626058209840357,-0.594439616588029,0.66270126599676,0.999999999999989,-0.37215380221929,0.552218117901508,0.715181808822319,-0.207271117992026,1,FALSE,FALSE,FALSE,FALSE
"CG12730_OG0007375",372.188252117589,-0.0129876712465401,0.204188324382208,-0.0636063363849797,0.997459982434154,0.999999999999989,-0.0129876712465401,0.949283686255886,0.975647725227993,-0.0102670364580701,1,FALSE,FALSE,FALSE,FALSE
