"","EREC10LA","ERED7Lar","EREF6Lar","MELA5LA","MELE7LA","MELG6Lar","SUZF11LA","SUZF8LA","SUZH10LAR","SIMC11Lar","SIMD11Lar","SIMF7LA","SECA11Lar","SECC7Lar","SECD8Lar","SANB6LA","SAND9LA","SANH4Lar"
"CG8323_OG0002920_OG0",334.445277924046,295.795496357072,355.54896607642,441.613378113148,283.291340732549,342.748753382184,128.419935021188,242.401563568896,95.4440555345016,360.735533606114,353.658724938357,419.839843036642,282.014988887509,426.898545632449,894.998024925814,336.34342967504,410.113214996526,426.740550740128
"eIF3m_OG0002921_OG0",8541.94142647884,10460.1088711764,10243.6315436643,7990.50685092991,6207.35652040504,7625.7789308054,9571.11858997464,10930.3450988742,10067.6635520275,9402.07142678735,9772.20470795238,10311.1350882776,8859.97090088257,10990.0596602673,9183.03828656548,8619.4821626452,8028.09276170978,8708.87623944656
"O-fut1_OG0006535",1732.84459624397,2129.89009876891,1801.00504311607,1509.36403411442,2541.91345868185,2304.03328662468,1678.08437479179,1226.42088378641,1752.80200811008,2360.84425555961,2317.84116434151,1868.32838173253,1948.9828973404,1501.36300106485,1427.30809830234,2159.87024029161,1679.94524365244,1815.89334354418
"CysRS-m_OG0002922",385.657211106166,459.133119345455,449.420538895661,491.372631985052,452.880714776524,441.765059914815,439.88619533377,412.73779742812,373.91612344693,401.123226936061,347.305574190961,391.905293793499,412.487440642937,462.989002388816,452.325658205958,411.793442277819,458.719225662781,488.505630452515
"CG13016_OG0006536",554.970133055214,503.01486880502,475.172917279701,450.94323821413,565.619105476212,549.1596693079,397.718455476066,357.706091104371,406.479389452819,347.884903910222,402.366214001723,351.646678707794,395.469294761794,370.184970729588,307.526285914417,418.156696352752,346.317825997067,412.141531899018
"CG13018_OG0006537",67.9341970783219,73.9488740892679,92.2101290525294,149.277761615712,72.2681991664666,80.7363730189145,84.3354797154069,141.510101975356,93.1983130513369,82.6111909021636,88.9441104635389,97.7709223509987,114.264693773387,183.545751503807,146.178413932413,66.3596496385889,71.8963907771688,123.530159424774
"pea_OG0006538",1136.06880344824,1288.01060913725,1292.60325050212,1304.10711189282,1360.56929630734,1275.78702647813,1319.65858600131,1240.83394972835,1597.84577677172,1365.8383562491,1420.98805050082,1409.87313238919,1269.06744999379,916.697601611709,1242.51651842551,1309.0122668434,1239.4532719895,1257.76162323406
"Rcd1_OG0002923",2395.46430313098,2359.86297093664,2496.31925948514,3043.60769516479,2947.57895000295,2789.97485253098,2401.64445644102,1956.24613193709,2553.40920335831,3017.14427217124,3374.58190532498,3105.66459232584,2456.28572217828,2049.93794376162,2566.39649366246,3162.53727524179,3021.67366308552,3125.31303344678
"Prosap_OG0006540",2224.06109819491,2075.44422443945,3035.45776178327,3653.15855509562,5583.92285559566,4088.61179590125,5046.71177478787,4337.02256980025,5361.71017855583,4153.50709813656,3842.59734371646,3679.14445619977,2584.3270102364,1468.36601203045,3731.68668019916,4121.57056796386,3366.97886386037,2936.64878996167
"mam_OG0001609",2640.02741261294,2700.35284174327,2781.25686547629,2970.00546547927,3916.93639482249,3248.4965181667,3895.72414821737,2788.2731204033,4479.13338267208,5057.64068745468,4431.32264630845,4940.3071940887,3453.87322597288,2264.41837248517,2559.50128545811,3573.42168122319,2348.27789031344,2060.70765949509
"CG18371_OG0006541",0,1.62524997998391,0.830721883356121,3.109953366994,1.92715197777244,2.28499168921456,0.958357724038714,2.62055744398807,5.61435620791186,11.932727574757,9.52972612109345,12.3240658425629,15.3973700829387,15.4673386098714,2.75808328174365,0.909036296419026,0,0
"mam_OG0006542",216.344289157117,264.103121747386,276.630387157588,232.209851402218,393.139003465578,317.613844800824,393.885024579912,286.951040116693,437.919784217125,565.427706619253,460.603429186183,521.718787335161,442.471792909712,214.480428723549,217.888579257748,367.250663753286,271.383559553257,214.49327681938
"RN-tre_OG0006801",837.158336303628,767.930615542398,739.342476186947,944.389172443844,1225.66865786327,1005.39634325441,1282.2826347638,1273.5909177782,1252.00143436434,1075.7812859704,1099.09507929944,1026.18388249073,910.065610691588,778.522710030191,1048.07164706259,1050.84595866039,1065.28173376875,1156.69149279561
"CG8067_OG0002991_OG0",226.795704092244,291.732371407112,276.630387157588,388.74417087425,219.695325466059,201.840932547286,361.300861962595,479.562012249816,372.793252205347,134.013709685732,118.592147284718,114.203010141083,183.14766519706,246.446261850617,241.332287152569,299.981977818279,331.128447663862,355.991459433212
"Ctf4_OG0002990_OG0",620.814047146511,1049.09886207961,987.728319310428,858.347129290343,753.516423309025,958.934845573711,978.483236243527,648.587967387046,1195.85787228523,250.587279069896,319.77525428558,303.172019727047,766.626952550527,824.924725859805,639.875321364526,895.400751972741,929.589953992126,878.187133365211
"CG6701_OG0002989_OG0",2134.17892975282,1505.79410645509,1893.2151721686,2397.77404595237,3583.53910266786,2937.73764843352,725.476797097307,896.230645843919,1256.49291933067,959.207716586233,1055.68188252557,930.056168918744,1025.95108026318,1108.49260037411,3084.91615063027,4294.28746428348,5274.76478251088,5056.87552627052
"PheRS-m_OG0006799",1156.9716333185,1050.7241120596,1028.43369159488,980.671961725441,520.33103399856,891.146758793679,786.811691435784,1270.97036033421,704.040268472147,503.928264503198,781.437541929663,561.977402420867,652.36225877714,888.85639211394,802.602234987402,576.329011929662,656.181143994442,707.49091306916
"Cp1_OG0001146_OG0",17627.3564295843,15734.0450562242,10842.5820215641,8214.42349335348,10606.0809096706,7931.20615326374,11026.8639727894,14998.7605306657,13609.1994479783,6395.94198006973,7909.67268050756,8349.14380614159,7913.43783473139,8632.83725612286,7969.48164259827,8355.86163668369,7202.80320560566,7180.47126692731
"Rpn13_OG0007309",10021.8617812927,10742.9023676937,7159.16119076305,7952.15075940365,7941.79330040024,5608.13126922894,4687.32762827335,6632.63089073379,6267.8672705128,8113.3368487136,6760.81125368685,8340.10615785704,5646.782880943,6805.62898834339,5409.98035714017,5702.38468743655,3845.95059396742,3780.02287839808
"mRpL53_OG0007308",966.755881499196,1005.21711262005,940.377171959129,1413.99213085994,1120.63887507468,1178.29404773831,1149.07091112242,2092.51511902447,960.054911552928,712.292046000877,621.549914786873,688.504478404512,950.58500564669,1076.52676724705,979.119565018995,691.776621574879,900.223822547931,1005.08629713793
"AGO1_OG0007307",2333.80095501374,2592.27371807434,2881.77421336238,3541.20023388383,7758.71386251186,5792.45393215891,4256.06665245593,3459.13582606425,4387.05794086233,3041.00972732075,2551.84888353725,2880.54498960169,1681.55489063673,698.09254925886,3788.2273874749,4852.43575028476,4949.7120861803,3532.96255954853
"DJ-1alpha_OG0007306",2.09028298702529,1.62524997998391,2.49216565006836,24.879626935952,29.8708556554729,29.7048919597893,0.958357724038714,0,0,11.0148254536218,33.8834706527767,7.39443950553772,8.91426689012241,9.28040316592281,15.1694580495901,13.6355444462854,6.07575133328187,6.73800869589676
"shot_OG0007305",39.7153767534805,33.3176245896702,92.2101290525294,40.429393770922,161.880766132885,191.177637997618,751.352455646352,504.457307967703,626.562152802964,95.4618205980557,62.4726490160571,92.8412960139736,35.6570675604896,34.028144941717,351.655618422315,337.252465971459,527.577740773309,229.09229566049
"shot_OG0000909_OG0",20520.3080836273,17891.5644046529,24973.9919793351,21130.0598264796,34774.4938629149,33040.9798260426,10356.0135659623,13928.2628147966,11531.887651051,24948.5796524534,22299.5591233587,23336.851079477,22958.2891815607,15006.4119192972,51948.4986116416,31719.9125272455,56816.3759679632,34421.1174229886
"CG13344_OG0007304",499.577633899044,525.768368524795,563.22943691545,335.874963635352,284.254916721435,313.8055253188,386.218162787602,303.984663502616,452.517110357696,517.696796320225,577.077859555103,530.756435619708,371.968045687835,372.247282544237,362.68795154929,436.337422281132,423.277342885304,425.617549290812
"CG16935_OG0007303",1144.42993539635,1073.47761177937,1157.19558351508,2067.08233792868,906.725005541935,1355.00007170423,736.018732061733,989.260435105495,680.459972398917,916.06631689288,752.848363566383,973.601201562466,1157.23391991771,1781.83740785718,1634.16434443311,720.865783060288,948.829833214186,937.706210178965
"CG1416_OG0009579",2249.14449403921,2427.31084510597,2255.40991331187,2659.01012877987,3018.88357318053,3017.71235755603,2014.46793592938,2661.17608436988,2118.85803286594,2489.35055251853,2425.84472704723,2112.34488541528,2572.17119174987,2752.15511664978,2553.98511889462,2258.04616030486,2686.4947145328,2624.45438705179
"Uba3_OG0007302",715.921923056162,881.698114141272,892.195302724474,1084.33707395857,903.834277575276,911.71168399661,1379.07676489171,1365.31042831778,1481.06716764715,832.537223869582,876.734803140597,943.201839150811,995.156340097302,1099.21219720819,859.142942263146,759.954343806306,754.405790549166,796.208027565134
"tum_OG0007301",1751.65714312719,2748.29771615279,2862.66761004519,2142.75786985886,1828.86722690605,2293.36999207501,2308.68375720926,1305.03760710606,2837.49562747865,1438.35262381878,1818.05997221305,1602.12855953317,2564.06731275885,2290.19727016828,1394.21109892141,2328.95099142554,2122.4624657598,2267.33992616926
"Echs1_OG0007300",4617.43511833886,4894.44031472155,5091.49442308966,10208.940252719,5308.3401227742,6798.61193930972,8688.47112613498,15931.6789807254,5785.03263663238,4526.17535931743,3011.39345426553,5243.47921381575,6308.05940661026,12399.6497855802,11064.0510847146,8174.9634136963,12598.07038956,12792.10950916
"Syngr_OG0007299",166.177497468511,34.9428745696541,139.561276403828,60.1257650952173,93.4668709219635,175.944360069521,281.757170867382,125.786757311427,149.341875130455,108.312450293948,244.596303774732,181.574570080426,256.082576116244,251.602041387241,209.614329412517,275.437997814965,278.471936108752,294.226379720825
"CG6357_OG0012581",196.486600780377,125.144248458761,79.7493008021876,390.817473118912,668.721736287038,461.568321221341,1204.65565911666,1320.76095176999,1357.55133107309,3527.49785152238,3570.47072003635,2549.43842063151,1629.6900650942,1697.28262345655,1693.4631349906,2053.51299361058,1119.96349576829,1114.0174377216
"CG6329_OG0011663",156.771224026897,61.7594992393886,169.467264204649,134.764645903073,97.3211748775084,280.292313876986,379.509658719331,204.403480631069,208.854050934321,217.542802709031,403.425072459623,297.420789000517,303.085074264162,270.162847719086,293.735869505698,290.891614854088,340.242074663785,343.638443490735
"step_OG0009578",820.436072407426,799.622990152084,730.20453547003,970.305450502127,1484.87059887367,1139.44918902166,871.147171151191,699.688837544814,856.75075732735,1622.85095016695,1533.22704703815,1222.54733158224,1184.78710848718,894.012171650564,1459.02605604239,1155.38513274858,997.435843880441,938.829211628282
"CG13339_OG0007296",195.441459286865,186.091122708158,158.667879721019,253.979524971176,144.536398332933,147.762795902542,228.089138321214,254.194072066842,252.646029356034,153.28965422957,202.241965458761,184.039383248939,140.197106544652,174.265348337884,165.484996904619,219.986783733404,182.272539998456,225.723291312541
"fl(2)d_OG0007295",2259.59590897434,2202.2137228782,2213.04309726071,2833.16751733153,2962.99616582513,2368.01305392269,2754.32009888727,2437.1184229089,2980.10027515962,2922.60035369432,2794.32747039618,2602.02110155977,2545.4283910795,2049.93794376162,2177.50675093661,2175.32385733073,2048.5408245382,1987.71256528954
